Location,Latitude,Longitude
Marina Bay Sands,1.2834,103.8607
Gardens by the Bay,1.2816,103.8636
Singapore Flyer,1.2893,103.8631
Orchard Road,1.3048,103.8318
Sentosa Island,1.2494,103.8303
Singapore Zoo,1.4043,103.793
Changi Airport,1.3644,103.9915
Clarke Quay,1.2906,103.8465
VivoCity,1.2649,103.8238
ION Orchard,1.304,103.8318
Jewel Changi Airport,1.3604,103.9892
NEX Mall,1.3508,103.8724
Woodlands Waterfront Park,1.451,103.7695
Bukit Batok Nature Park,1.356,103.7639
Seletar Aerospace Park,1.4176,103.867
IMM Mall,1.3336,103.7445
The Star Vista,1.3065,103.7895
Causeway Point,1.4355,103.7858
Waterway Point,1.4104,103.902
Eastpoint Mall,1.3433,103.9535
Mount Faber Park,1.2723,103.8198
Marina Barrage,1.2806,103.8711

