Vehicle,From,To,Latitude_From,Longitude_From,Latitude_To,Longitude_To
1,Marina Bay Sands,Singapore Flyer,1.2834,103.8607,1.2893,103.8631
1,Singapore Flyer,Singapore Zoo,1.2893,103.8631,1.4043,103.793
1,Singapore Zoo,Causeway Point,1.4043,103.793,1.4355,103.7858
1,Causeway Point,Woodlands Waterfront Park,1.4355,103.7858,1.451,103.7695
1,Woodlands Waterfront Park,Bukit Batok Nature Park,1.451,103.7695,1.356,103.7639
1,Bukit Batok Nature Park,IMM Mall,1.356,103.7639,1.3336,103.7445
1,IMM Mall,The Star Vista,1.3336,103.7445,1.3065,103.7895
1,The Star Vista,Marina Bay Sands,1.3065,103.7895,1.2834,103.8607
2,Marina Bay Sands,NEX Mall,1.2834,103.8607,1.3508,103.8724
2,NEX Mall,Seletar Aerospace Park,1.3508,103.8724,1.4176,103.867
2,Seletar Aerospace Park,Waterway Point,1.4176,103.867,1.4104,103.902
2,Waterway Point,Changi Airport,1.4104,103.902,1.3644,103.9915
2,Changi Airport,Jewel Changi Airport,1.3644,103.9915,1.3604,103.9892
2,Jewel Changi Airport,Eastpoint Mall,1.3604,103.9892,1.3433,103.9535
2,Eastpoint Mall,Marina Barrage,1.3433,103.9535,1.2806,103.8711
2,Marina Barrage,Marina Bay Sands,1.2806,103.8711,1.2834,103.8607
3,Marina Bay Sands,Gardens by the Bay,1.2834,103.8607,1.2816,103.8636
3,Gardens by the Bay,Sentosa Island,1.2816,103.8636,1.2494,103.8303
3,Sentosa Island,VivoCity,1.2494,103.8303,1.2649,103.8238
3,VivoCity,Mount Faber Park,1.2649,103.8238,1.2723,103.8198
3,Mount Faber Park,ION Orchard,1.2723,103.8198,1.304,103.8318
3,ION Orchard,Orchard Road,1.304,103.8318,1.3048,103.8318
3,Orchard Road,Clarke Quay,1.3048,103.8318,1.2906,103.8465
3,Clarke Quay,Marina Bay Sands,1.2906,103.8465,1.2834,103.8607
