Vehicle,From,To,Latitude_From,Longitude_From,Latitude_To,Longitude_To
0,Marina Bay Sands,Gardens by the Bay,1.2834,103.8607,1.2816,103.8636
0,Gardens by the Bay,Marina Bay Sands,1.2816,103.8636,1.2834,103.8607
1,Marina Bay Sands,Sentosa Island,1.2834,103.8607,1.2494,103.8303
1,Sentosa Island,VivoCity,1.2494,103.8303,1.2649,103.8238
1,VivoCity,The Star Vista,1.2649,103.8238,1.3065,103.7895
1,The Star Vista,IMM Mall,1.3065,103.7895,1.3336,103.7445
1,IMM Mall,Bukit Batok Nature Park,1.3336,103.7445,1.356,103.7639
1,Bukit Batok Nature Park,Singapore Zoo,1.356,103.7639,1.4043,103.793
1,Singapore Zoo,Causeway Point,1.4043,103.793,1.4355,103.7858
1,Causeway Point,Woodlands Waterfront Park,1.4355,103.7858,1.451,103.7695
1,Woodlands Waterfront Park,Seletar Aerospace Park,1.451,103.7695,1.4176,103.867
1,Seletar Aerospace Park,Waterway Point,1.4176,103.867,1.4104,103.902
1,Waterway Point,Changi Airport,1.4104,103.902,1.3644,103.9915
1,Changi Airport,Jewel Changi Airport,1.3644,103.9915,1.3604,103.9892
1,Jewel Changi Airport,NEX Mall,1.3604,103.9892,1.3508,103.8724
1,NEX Mall,Orchard Road,1.3508,103.8724,1.3048,103.8318
1,Orchard Road,ION Orchard,1.3048,103.8318,1.304,103.8318
1,ION Orchard,Clarke Quay,1.304,103.8318,1.2906,103.8465
1,Clarke Quay,Singapore Flyer,1.2906,103.8465,1.2893,103.8631
1,Singapore Flyer,Marina Bay Sands,1.2893,103.8631,1.2834,103.8607
